ppm,co2,uv,hum,temp,label
0.56,619,14.88,55,20,2
0.56,621,14.96,55,19,2
0.56,616,14.77,55,20,2
0.56,616,14.77,54,20,2
0.56,599,14.15,54,20,2
0.56,613,14.66,54,20,2
0.64,609,14.52,53,20,2
0.56,600,14.19,54,20,2
0.64,575,13.27,53,20,2
0.64,572,13.16,53,20,2
0.56,566,12.94,53,20,2
0.64,582,13.53,53,20,2
0.64,578,13.38,53,20,2
0.64,580,13.46,53,20,2
0.64,594,13.97,53,20,2
0.64,588,13.75,53,20,2
0.64,603,14.3,53,21,2
0.64,603,14.3,52,21,2
0.64,603,14.3,52,21,2
0.64,603,14.3,51,21,2
0.64,599,14.15,51,22,2
0.64,605,14.37,50,22,2
0.64,613,14.66,50,22,2
0.64,614,14.7,50,22,2
0.64,612,14.63,50,22,2
0.64,610,14.55,50,22,2
0.64,612,14.63,50,22,2
0.64,611,14.59,50,21,2
0.64,617,14.81,51,21,2
0.74,615,14.74,51,21,2
0.64,612,14.63,50,21,2
0.64,613,14.66,51,21,2
0.56,608,14.45,50,20,2
0.56,605,14.34,50,21,2
0.56,614,14.7,50,21,2
0.64,602,14.23,49,21,2
0.56,603,14.3,49,21,2
0.56,606,14.38,49,21,2
0.56,606,14.41,50,21,2
0.64,606,14.41,50,21,2
0.74,609,14.49,49,21,2
0.56,612,14.6,49,21,2
0.64,612,14.6,49,21,2
0.56,611,14.56,49,21,2
0.56,610,14.52,49,21,2
0.56,608,14.45,49,21,2
0.56,608,14.45,49,21,2
0.64,621,14.92,49,21,2
0.64,619,14.85,49,21,2
0.64,614,14.67,49,21,2
0.64,613,14.63,49,21,2
0.56,614,14.67,50,21,2
0.56,621,14.92,50,21,2
0.56,622,14.96,50,21,2
0.56,617,14.78,49,20,3
0.56,616,14.74,49,20,3
0.56,614,14.7,49,20,3
0.56,597,14.05,50,20,3
0.56,601,14.19,50,20,3
0.56,601,14.19,50,20,3
0.56,602,14.23,50,20,3
0.64,615,14.71,50,20,3
0.56,607,14.41,50,21,3
0.64,623,15,50,21,3
0.56,621,14.92,49,21,3
0.64,616,14.74,49,21,3
0.64,613,14.63,48,21,3
0.56,248,1.29,48,21,3
0.64,617,14.78,49,22,3
0.64,623,14.97,49,22,3
0.64,624,15,48,22,3
0.64,623,14.97,47,23,3
0.64,626,15.08,46,23,3
0.74,626,15.08,47,23,3
0.74,612,14.56,47,23,3
0.74,613,14.6,47,23,3
0.64,614,14.64,46,22,3
0.74,628,15.15,46,22,3
0.64,616,14.71,46,22,3
0.74,247,1.24,47,22,3
0.64,568,12.96,47,22,3
0.64,585,13.58,48,21,3
0.64,598,14.08,47,22,3
0.64,593,13.9,47,22,3
0.64,247,1.25,47,22,3
0.74,247,1.25,47,21,3
0.74,247,1.24,48,21,3
0.84,246,1.2,49,21,3
0.74,607,14.38,48,20,3
0.74,610,14.49,49,20,3
0.64,604,14.27,49,20,3
0.64,605,14.31,49,20,3
0.64,586,13.62,49,20,3
0.74,581,13.43,49,20,3
0.64,608,14.42,50,20,3
0.74,611,14.56,51,19,3
0.74,593,13.9,51,19,3
0.74,593,13.9,52,19,3
0.74,569,13.02,53,19,3
0.74,587,13.68,53,19,3
0.74,237,0.84,53,19,3
0.84,572,13.05,53,19,3
0.74,238,0.89,54,19,3
0.84,601,14.1,53,19,3
